Key,X,Y,Z,IM_X,IM_Y
Q,153.7,-84.5,-37,0,0
W,151.5,-70,-37,0,1
E,150.1,-55.2,-37,0,2
R,147.4,-41,-37,0,3
T,145.3,-27.5,-37,0,4
Y,145.7,-14.5,-37,0,5
U,144.9,-1,-37,0,6
I,145.7,12.2,-37,0,7
O,145.7,25.5,-37,0,8
P,146,39.5,-37,0,9
A,170.1,-83,-37,1,0
S,169.4,-69,-37,1,1
D,168,-54,-37,1,2
F,166.6,-40,-37,1,3
G,165,-24.7,-37,1,4
H,165.8,-11.7,-37,1,5
J,164.5,2.5,-37,1,6
K,163.1,16.4,-37,1,7
L,165.1,31.4,-37,1,8
NONE,162.5,45.5,-37,1,9
NONE,189.3,-91.1,-37,2,0
Z,189.2,-77.5,-37,2,1
X,187.9,-62,-37,2,2
C,184.9,-47.1,-37,2,3
V,185.2,-32.6,-37,2,4
B,183.3,-18.3,-37,2,5
N,182.9,-4.3,-37,2,6
M,183.6,9.5,-37,2,7
NONE,181.2,14.7,-37,2,8
NONE,180.2,39.2,-37,2,9
NONE,202.3,-90.1,-37,3,0
NONE,202.3,-75.8,-37,3,1
SPACE,202.3,-62,-37,3,2
SPACE,202.3,-47.1,-37,3,3
SPACE,202.3,-32.6,-37,3,4
SPACE,202.3,-18.3,-37,3,5
SPACE,202.3,-4.3,-37,3,6
SPACE,202.3,9.5,-37,3,7
NONE,202.3,24.2,-37,3,8
NONE,202.3,38.5,-37,3,9
NONE,189,80,-37,2,12
UP,190.6,95.6,-37,2,13
NONE,191,110,-37,2,14
LEFT,205.9,81.7,-37,3,12
DOWN,207,96.9,-37,3,13
RIGHT,207.8,112.5,-37,3,14
